Fe,C,Mn,Si,Cr,Ni,Mo,V,Nb,Co,Al,Ti,N,W,yield_strength
0.722,0.00797,0.00164,0.001,0.0322,0.0961,0.0071,0.000111,6.06E-05,0.131,0.000209,0,0,0,1547.3
0.723,0.0032,0.006,0.00587,0.158,0.0655,0.0129,0.000108,5.91E-05,9.32E-05,0.0244,0,0,0,1463
0.724,0.0014,0.00051,0.00339,0.000108,0.157,0.000117,0.044,6.03E-05,0.0656,0.00208,0.00164,0,0,1536.5
0.725,0.0155,0.000677,0.0899,0.000102,0.167,0.000111,0.000104,5.72E-05,9.02E-05,0.000591,0,0,0,1250.5
0.727,0.000476,0.000104,0.000203,0.0549,0.108,0.0304,0.000112,6.15E-05,0.0611,0.00212,0.0154,0,0,1123.1
0.73,0.00414,0.0101,0.00983,0.186,0.0395,0.0158,0.000108,5.94E-05,9.37E-05,0.000614,0,0.00394,0,1016.4
0.731,0.00897,0.000103,0.000202,0.0742,0.0271,0.0142,0.00312,6.10E-05,0.137,0.000631,0.000237,0,0.00401,1371.1
0.732,0.00415,0.00504,0.00553,0.182,0.0395,0.0117,0.000109,5.97E-05,0.019,0.000616,0,0,0,1117.3
0.732,0.0048,0.00556,0.00533,0.136,9.81E-05,0.00012,0.000113,6.20E-05,0.0953,0.00064,0,0.00123,0.0188,1232
0.733,0.0075,0.00164,0.001,0.0213,0.0964,0.00587,0.000111,6.06E-05,0.133,0.000209,0,0,0,1592.9
0.734,0.0075,0.000615,0.000802,0.0211,0.0974,0.00575,0.000111,6.06E-05,0.132,0.000209,0.000118,0,0,1629.9
0.735,0.000951,0.000104,0.000203,0.0549,0.108,0.0286,0.000112,6.15E-05,0.0601,0.0019,0.00978,0,0,1047.3
0.735,0.00514,0.00593,0.0044,0.128,9.57E-05,0.0227,0.00011,6.04E-05,0.0972,0.000624,0,0.000802,0,1096.5
0.735,0.0111,0.000101,0.000198,0.0974,0.0266,0.00754,0.00404,5.99E-05,0.117,0.000619,0.000349,0,0,1615.8
0.736,0.0107,0.000101,0.000198,0.0964,0.0266,0.00755,0.00328,6.00E-05,0.118,0.000619,0.000349,0,0,1522.7
0.737,0.000956,0.000105,0.000204,0.00011,0.127,0.0299,0.0053,6.18E-05,0.0867,0.00426,0.00852,0,0,1061.1
0.737,0.00836,0.000102,0.000199,0.0977,0.0266,0.00756,0.00318,6.01E-05,0.118,0.000621,0.00035,0,0,1426.2
0.737,0.0111,0.000101,0.000198,0.0964,0.0266,0.00755,0.00317,5.99E-05,0.117,0.000619,0.000233,0,0,1564
0.74,0.00457,0.03,0.00586,0.179,0.0393,0.000114,0.000108,5.91E-05,9.31E-05,0.00061,0,0,0,1130.4
0.741,0.00702,0.00164,0.001,0.0321,0.0964,0.00586,0.00011,6.05E-05,0.115,0.000208,0,0,0,1455.4
0.744,0.00414,0.0217,0.00354,0.18,0.0401,0.00598,0.000108,5.94E-05,9.37E-05,0.000614,0,0,0,1028.7
0.745,0.00138,0.000101,0.000197,0.134,0.0794,0.0129,0.000108,5.94E-05,9.37E-05,0.0268,0.000115,0,0,1521.3
0.747,0.000899,0.000982,0.082,0.000104,0.166,0.000112,0.000106,5.81E-05,9.16E-05,0.0014,0.00101,0,0,1801.8
0.748,0.00704,0.00164,0.0012,0.0218,0.0967,0.00716,0.000111,6.06E-05,0.116,0.000209,0,0,0,1503.4
0.75,0.00138,0.000101,0.000197,0.133,0.0789,0.0128,0.000109,5.96E-05,9.40E-05,0.0218,0.00104,0,0,1350.3
0.75,0.00184,0.000101,0.000394,0.133,0.0814,0.0121,0.000109,5.96E-05,9.39E-05,0.0205,0,0,0,1308
0.751,0.00138,0.000101,0.000197,0.133,0.0784,0.0128,0.000109,5.96E-05,9.39E-05,0.0217,0.00104,0.000395,0,1357.9
0.751,0.00138,0.000101,0.000197,0.133,0.0784,0.0128,0.000109,5.96E-05,9.39E-05,0.022,0.000578,0,0,1317
0.751,0.00138,0.000101,0.000197,0.133,0.0787,0.0128,0.000109,5.96E-05,9.39E-05,0.0217,0.000231,0.000395,0,1269
0.751,0.00138,0.000101,0.000197,0.134,0.0782,0.0128,0.000109,5.96E-05,9.39E-05,0.0215,0.000116,0.000395,0,1306.9
0.751,0.00138,0.000101,0.000197,0.134,0.0791,0.0129,0.000109,5.96E-05,9.40E-05,0.0211,0.000116,0,0,1285
0.751,0.00184,0.000101,0.000197,0.133,0.0783,0.0129,0.000109,5.96E-05,9.39E-05,0.022,0.000116,0,0,1297.5
0.751,0.00184,0.000101,0.000197,0.133,0.0785,0.0128,0.000109,5.96E-05,9.39E-05,0.0217,0.000578,0,0,1344
0.751,0.00184,0.000101,0.000197,0.133,0.0786,0.0127,0.000109,5.96E-05,9.39E-05,0.0213,0.00116,0,0,1348.6
0.751,0.00563,0.00185,0.0012,0.0218,0.0967,0.00587,0.000111,6.06E-05,0.116,0.000209,0,0,0,1463.3
0.752,0.00138,0.000101,0.000197,0.133,0.0781,0.0127,0.000109,5.96E-05,9.39E-05,0.0215,0.000578,0.000395,0,1276.7
0.752,0.00138,0.000101,0.000197,0.133,0.0784,0.0128,0.000109,5.96E-05,9.40E-05,0.0218,0.000231,0,0,1296
0.752,0.00138,0.000101,0.000197,0.134,0.0784,0.0128,0.000109,5.96E-05,9.40E-05,0.0209,0.000116,0,0,1277.7
0.752,0.00184,0.000101,0.000197,0.133,0.0783,0.0128,0.000109,5.96E-05,9.40E-05,0.0209,0.00104,0,0,1391.2
0.752,0.00184,0.000101,0.000197,0.133,0.0787,0.0129,0.000109,5.96E-05,9.40E-05,0.0213,0.000116,0,0,1312
0.753,0.00138,0.000101,0.000197,0.133,0.0784,0.0127,0.000109,5.96E-05,9.40E-05,0.0211,0.000231,0,0,1276.5
0.753,0.00929,0.000102,0.000199,0.088,0.02,0.00756,0.00318,6.00E-05,0.117,0.00062,0.000233,0,0,1357.3
0.754,0.00184,0.000101,0.000197,0.132,0.078,0.0128,0.000109,5.96E-05,9.40E-05,0.0213,0.000347,0,0,1294.9
0.754,0.00599,0.0101,0.00493,0.165,0.0396,0.0159,0.000109,5.96E-05,9.40E-05,0.000616,0,0.00395,0,1155
0.754,0.0064,0.03,0.00469,0.166,0.0387,0.000114,0.000108,5.91E-05,9.31E-05,0.00061,0,0,0,1153.4
0.755,0.00185,0.000101,0.000198,0.134,0.0794,0.0127,0.000109,5.98E-05,9.42E-05,0.0158,0.000232,0,0,1280.2
0.755,0.00552,0.00543,0.0236,0.128,0.0188,0.0173,0.0038,0.00244,0.0375,0.000615,0,0.00197,0,1074.9
0.757,0.000465,0.000712,0.00219,0.121,0.0981,0.0119,0.00011,6.02E-05,9.48E-05,0.00497,0.00269,0,0,1157.5
0.757,0.00185,0.000101,0.000791,0.133,0.0781,0.0127,0.000109,5.97E-05,9.42E-05,0.0158,0.000232,0,0,1280.8
0.757,0.0186,0.00163,0.000199,0.131,9.53E-05,0.0341,0.0105,6.02E-05,0.0467,0.000622,0,0,0,1667.4
0.758,0.00142,0.000104,0.000203,0.123,0.0932,0.000119,0.000112,6.12E-05,9.65E-05,0.00822,0.00309,0,0.0124,1199
0.758,0.00185,0.000101,0.000198,0.132,0.078,0.0127,0.000109,5.97E-05,9.42E-05,0.0167,0.000348,0,0,1305.4
0.759,0.000472,0.000103,0.000202,0.000109,0.203,0.0124,0.000111,6.10E-05,9.61E-05,0.00273,0.0225,0,0,1661.2
0.76,0.000454,0.000992,0.064,0.000105,0.172,0.000114,0.000107,5.87E-05,9.25E-05,0.00101,0.00125,0,0,1474.4
0.76,0.000468,0.000102,0.0002,0.113,0.0986,0.0181,0.00011,6.05E-05,9.53E-05,0.00749,0.00129,0,0,1091.4
0.762,0.00093,0.00752,0.00199,0.11,0.0971,0.0115,0.00011,6.01E-05,9.48E-05,0.00621,0.00257,0,0,1145.8
0.763,0.000466,0.000509,0.000398,0.114,0.101,0.012,0.00011,6.02E-05,9.49E-05,0.00746,0.000935,0,0,1194
0.763,0.00479,0.00524,0.00615,0.133,0.0196,0.00012,0.000113,6.19E-05,0.0488,0.00064,0,0,0.0188,1235.9
0.763,0,0.00102,0.00814,0.109,0.0988,0.0116,0.000109,6.00E-05,9.46E-05,0.00517,0.00268,0,0,1221.6
0.764,0.000467,0.000511,0.002,0.0831,0.117,0.0178,0.00011,6.04E-05,9.52E-05,0.0131,0.00234,0,0,1506.8
0.765,0.000909,0.00109,0.0618,0.000105,0.17,0.000114,0.000107,5.87E-05,9.26E-05,0.000607,0,0,0,1419.4
0.765,0,0.000713,0.00199,0.112,0.0992,0.0128,0.00011,6.03E-05,9.50E-05,0.00519,0.00281,0,0,1224.7
0.765,0,0.00112,0.00597,0.11,0.099,0.0119,0.00011,6.01E-05,9.48E-05,0.00414,0.00257,0,0,1173.8
0.766,0.000468,0.000819,0.001,0.102,0.103,0.0188,0.00011,6.06E-05,9.55E-05,0.00563,0.00259,0,0,1267.8
0.766,0.0014,0.000102,0.000199,0.115,0.09,0.0143,0.00011,6.01E-05,9.48E-05,0.00952,0.00327,0,0,1182
0.766,0,0.00051,0.000399,0.121,0.0945,0.012,0.00011,6.03E-05,9.50E-05,0.0027,0.00351,0,0,1172
0.766,0,0.00366,0.00159,0.11,0.0981,0.0118,0.00011,6.02E-05,9.49E-05,0.00622,0.00269,0,0,1178.9
0.766,0,0.00448,0.00159,0.109,0.0981,0.0117,0.00011,6.02E-05,9.49E-05,0.00622,0.00257,0,0,1163
0.767,0.000465,0.00112,0.00358,0.11,0.0981,0.0119,0.00011,6.01E-05,9.48E-05,0.00559,0.00257,0,0,1175.4
0.768,0.000466,0.000306,0.000598,0.11,0.1,0.0128,0.00011,6.03E-05,9.51E-05,0.00478,0.00281,0,0,1340.8
0.768,0.000466,0.00122,0.00119,0.111,0.0972,0.0119,0.00011,6.02E-05,9.49E-05,0.00642,0.00245,0,0,1258.8
0.768,0.000468,0.000512,0.0018,0.0827,0.117,0.0179,0.00011,6.05E-05,9.54E-05,0.00958,0.00235,0,0,1414.5
0.768,0.000931,0.00244,0.00199,0.11,0.0981,0.0113,0.00011,6.02E-05,9.48E-05,0.00497,0.00269,0,0,1167.2
0.769,0,0.000509,0.000398,0.112,0.0953,0.0119,0.00011,6.02E-05,9.49E-05,0.00725,0.00362,0,0,1282.2
0.77,0.00047,0.000103,0.000201,0.000109,0.168,0.0124,0.0222,6.07E-05,9.57E-05,0.00251,0.0236,0,0,1998.6
0.77,0.00093,0.00488,0.00199,0.107,0.0952,0.0112,0.00011,6.01E-05,9.48E-05,0.006,0.00245,0,0,1188.6
0.77,0,0.000509,0.000398,0.111,0.0972,0.012,0.00011,6.02E-05,9.49E-05,0.00726,0.00199,0,0,1243
0.771,0,0.00122,0.0014,0.107,0.1,0.0123,0.00011,6.03E-05,9.50E-05,0.00477,0.00257,0,0,1150.6
0.772,0.0169,0.00226,0.000201,0.0732,9.61E-05,0.0338,0.0106,6.07E-05,0.0905,0.000627,0,0,0,1846.5
0.773,0.000933,0.000612,0.00259,0.112,0.0945,0.0126,0.00011,6.03E-05,9.50E-05,0.00187,0.00152,0,0,1005.9
0.773,0.00141,0.000512,0.0022,0.0812,0.116,0.0179,0.00011,6.06E-05,9.55E-05,0.00522,0.00235,0,0,1218.8
0.774,0,0.000511,0.000599,0.111,0.0985,0.012,0.00011,6.04E-05,9.52E-05,0.00187,0.00105,0,0,1032.1
0.777,0.00047,0.000719,0.00201,0.0836,0.115,0.0178,0.000111,6.07E-05,9.58E-05,0.00167,0.000707,0,0,1010.8
0.777,0.0014,0.000102,0.000199,0.122,0.0824,0.000117,0.00011,6.03E-05,9.50E-05,0.0081,0.00316,0,0.00561,1194
0.778,0.000465,0.000813,0.00238,0.0966,0.0808,0.0189,0.00011,6.01E-05,9.47E-05,0.0186,0.00268,0,0,1462.7
0.778,0.000931,0.000611,0.00159,0.0796,0.0981,0.0189,0.00011,6.02E-05,9.49E-05,0.0189,0.00269,0,0,1555.8
0.778,0,0.00122,0.00159,0.112,0.0876,0.0115,0.00011,6.02E-05,9.49E-05,0.00539,0.00245,0,0,1207.8
0.779,0.000946,0.000103,0.000202,0.000109,0.173,0.0184,0.01,6.11E-05,9.64E-05,0.00147,0.0166,0,0,1730.2
0.779,0.00139,0.000101,0.000198,0.114,0.0973,0.000116,0.000109,5.97E-05,9.41E-05,0.00432,0.00359,0,0,1125
0.779,0.00141,0.000103,0.000201,0.000109,0.174,0.013,0.000111,6.08E-05,9.59E-05,0.00209,0.0295,0,0,2006
0.779,0.00141,0.000103,0.000201,0.000109,0.174,0.013,0.000111,6.08E-05,9.59E-05,0.0023,0.0295,0,0,2005.5
0.78,0.000457,0.000599,0.0504,0.000106,0.166,0.000114,0.000108,5.91E-05,9.31E-05,0.00102,0.000802,0,0,1309.1
0.78,0.000465,0.00122,0.00159,0.105,0.0953,0.00991,0.00011,6.02E-05,9.49E-05,0.00414,0.00222,0,0,1087
0.78,0.000467,0.00051,0.002,0.083,0.0993,0.0179,0.00011,6.03E-05,9.51E-05,0.0139,0.00234,0,0,1475.8
0.781,0.000475,0.000104,0.000203,0.00011,0.173,0.0184,0.0112,6.13E-05,9.67E-05,0.00106,0.0131,0,0.00102,1688.1
0.781,0.00141,0.000103,0.000201,0.000109,0.167,0.000118,0.02,0.0152,9.60E-05,0.0021,0.0126,0,0,1730.2
0.782,0.0181,0.00187,0.000203,0.0816,9.73E-05,0.0576,0.0108,6.15E-05,0.0476,0.000635,0,0,0,1577.8
0.783,0.0187,0.00184,0.0002,0.104,9.55E-05,0.0341,0.0106,6.03E-05,0.0463,0.000623,0,0,0,1798.3
0.784,0.000919,0.001,0.0397,0.000106,0.173,0.000115,0.000108,5.94E-05,9.36E-05,0.000614,0,0,0,1298.8
0.785,0.000467,0.000511,0.0018,0.082,0.0985,0.0178,0.00011,6.04E-05,9.52E-05,0.0108,0.00235,0,0,1383.5
0.785,0.000931,0.000102,0.000199,0.000108,0.167,0.000117,0.0209,6.02E-05,9.49E-05,0.00187,0.0241,0,0,1730.2
0.786,0.000469,0.000512,0.0012,0.0576,0.124,0.0172,0.00011,6.06E-05,9.55E-05,0.0106,0.00235,0,0,1404.2
0.786,0.000473,0.00031,0.000202,0.000109,0.175,0.0182,0.000112,6.12E-05,9.65E-05,0.0019,0.0167,0,0,1641.2
0.787,0.000474,0.000207,0.000203,0.000109,0.176,0.0181,0.000112,6.12E-05,9.65E-05,0.0019,0.015,0,0,1599.4
0.787,0.0137,0.000103,0.000202,0.0111,0.101,0.0118,0.00111,6.10E-05,0.0689,0.00063,0.000118,0,0.00394,1683
0.788,0,0.000104,0.000203,0.000109,0.176,0.0184,0.000112,6.13E-05,9.66E-05,0.00105,0.0166,0,0,1716.3
0.789,0.00143,0.000104,0.000204,0.00011,0.181,0.000119,0.000112,6.17E-05,9.72E-05,0.00212,0.0168,0,0.00935,1600
0.789,0,0.000719,0.00161,0.0814,0.101,0.0194,0.000111,6.07E-05,9.57E-05,0.00439,0.00271,0,0,1263.6
0.792,0.00047,0.000411,0.00201,0.0862,0.098,0.0181,0.000111,6.07E-05,9.57E-05,0.00167,0.000589,0,0,1061.7
0.793,0.000468,0.000819,0.0024,0.0962,0.08,0.019,0.00011,6.05E-05,9.54E-05,0.00521,0.00235,0,0,1169.2
0.794,0.00047,0.000617,0.00101,0.0847,0.0981,0.0188,0.000111,6.08E-05,9.58E-05,0.00126,0.00118,0,0,1036.9
0.795,0.00141,0.000717,0.000801,0.0963,0.081,0.0191,0.00011,6.06E-05,9.55E-05,0.00313,0.0027,0,0,1150.6
0.796,0.000469,0.000103,0.000201,0.000108,0.174,0.00587,0.000111,6.06E-05,9.56E-05,0.00167,0.0212,0,0,1737.2
0.797,0.000939,0.00215,0.00381,0.054,0.118,0.0175,0.000111,6.07E-05,9.57E-05,0.00481,0.00165,0,0,1194
0.798,0.000469,0.00082,0.001,0.0504,0.116,0.0184,0.000111,6.06E-05,9.55E-05,0.0119,0.00235,0,0,1390.4
0.799,0.000468,0.0256,0.000401,0.000108,0.173,0.000117,0.00011,6.05E-05,9.55E-05,0.00104,0.00047,0,0,1471.1
0.799,0.000469,0.000513,0.00241,0.052,0.117,0.0176,0.000111,6.06E-05,9.56E-05,0.00835,0.00224,0,0,1272.6
0.799,0.00047,0.000103,0.000201,0.000108,0.167,0.00847,0.000111,6.07E-05,9.57E-05,0.00167,0.0224,0,0,1392.4
0.799,0.000471,0.000103,0.000201,0.000109,0.165,0.0118,0.000111,6.09E-05,9.60E-05,0.00147,0.0215,0,0,1874.6
0.799,0.000936,0.000102,0.0002,0.000108,0.17,0.00375,0.00011,6.05E-05,9.54E-05,0.00167,0.0238,0,0,1730.2
0.8,0.00047,0.000616,0.000602,0.0506,0.117,0.0186,0.000111,6.07E-05,9.57E-05,0.00982,0.00224,0,0,1390.4
0.801,0.000469,0.00103,0.00361,0.0528,0.116,0.0175,0.000111,6.07E-05,9.57E-05,0.00522,0.00177,0,0,1230.6
0.801,0.00047,0.000205,0.000603,0.0543,0.117,0.0176,0.000111,6.07E-05,9.58E-05,0.00648,0.00248,0,0,1309.8
0.801,0.000934,0.000102,0.0002,0.000108,0.171,0.00175,0.00011,6.04E-05,9.52E-05,0.00208,0.0229,0,0,1674.6
0.801,0.000939,0.000821,0.000803,0.0513,0.116,0.0185,0.000111,6.07E-05,9.57E-05,0.00794,0.00271,0,0,1243.6
0.802,0.000468,0.000512,0.0012,0.0526,0.111,0.0173,0.00011,6.05E-05,9.54E-05,0.0121,0.00258,0,0,1437.3
0.802,0.00047,0.000308,0.00221,0.0518,0.117,0.0178,0.000111,6.07E-05,9.58E-05,0.00544,0.00236,0,0,1216.8
0.802,0.0174,0.00185,0.000201,0.0805,9.62E-05,0.0403,0.0106,6.08E-05,0.0468,0.000628,0,0,0,1784.5
0.802,0,0.00041,0.0012,0.0543,0.114,0.0175,0.000111,6.07E-05,9.57E-05,0.00815,0.00236,0,0,1324.3
0.803,0.00046,0.000402,0.0368,0.000106,0.157,0.000115,0.000108,5.94E-05,9.37E-05,0.00102,0.000923,0,0,1188.5
0.803,0.00047,0.000823,0.000805,0.0511,0.117,0.0184,0.000111,6.08E-05,9.59E-05,0.00544,0.00224,0,0,1212.6
0.803,0.0168,0.00215,0.0002,0.0834,9.57E-05,0.0334,0.0127,6.05E-05,0.047,0.000625,0,0,0,1819
0.803,0.0174,0.00236,0.000201,0.0779,9.60E-05,0.0335,0.0122,0.00473,0.0477,0.000627,0,0,0,1340.1
0.803,0,0.000512,0.0012,0.052,0.11,0.0173,0.00011,6.05E-05,9.54E-05,0.0137,0.00235,0,0,1451.7
0.804,0.0166,0.00238,0.000202,0.0782,9.69E-05,0.0343,0.0114,6.12E-05,0.0473,0.000632,0,0,0.00476,1688.1
0.805,0.00047,0.000719,0.000804,0.0496,0.116,0.0184,0.000111,6.08E-05,9.58E-05,0.00711,0.00212,0,0,1254
0.806,0.000468,0.0176,0.000401,0.000108,0.174,0.000117,0.00011,6.06E-05,9.55E-05,0.00104,0.000705,0,0,1136.9
0.806,0.0176,0.00181,0.000209,0.0802,9.99E-05,0.00153,0.0124,6.31E-05,0.0501,0.000652,0,0,0.0293,1681.2
0.807,0.00047,0.000513,0.00221,0.0501,0.116,0.0164,0.000111,6.07E-05,9.57E-05,0.00439,0.00236,0,0,1167.2
0.808,0.0201,0.00214,0.0002,0.077,9.55E-05,0.0328,0.0112,6.03E-05,0.0475,0.000623,0,0,0,1736.3
0.81,0.00094,0.000103,0.000201,0.000109,0.151,0.0118,0.000111,6.08E-05,9.58E-05,0.00209,0.0234,0,0,1723.2
0.811,0.0182,0.00225,0.0002,0.0755,9.57E-05,0.0337,0.0119,6.05E-05,0.0467,0.000625,0,0,0,1688.1
0.812,0.000934,0.000715,0.0022,0.0507,0.0975,0.0181,0.00011,6.04E-05,9.52E-05,0.0146,0.00258,0,0,1420
0.813,0.0187,0.00143,0.0002,0.08,9.57E-05,0.0337,0.00617,6.04E-05,0.046,0.000624,0,0,0,1805.2
0.814,0.000937,0.000717,0.002,0.0522,0.0977,0.0188,0.00011,6.05E-05,9.54E-05,0.0108,0.00282,0,0,1304.3
0.814,0.0169,0.00236,0.000201,0.071,9.60E-05,0.0338,0.00951,0.00249,0.0488,0.000627,0,0,0,1653.6
0.816,0.000937,0.000102,0.0002,0.000108,0.147,0.00821,0.00011,6.06E-05,9.55E-05,0.0025,0.0247,0,0,1792.2
0.818,0.0178,0.00194,0.0002,0.0799,9.58E-05,0.0337,0.000662,6.05E-05,0.0466,0.000625,0,0,0,1564
0.819,0.00507,0.00686,0.00493,0.127,0.0225,0.0102,0.00359,5.96E-05,9.40E-05,0.000616,0,0.000791,0,1021
0.819,0.015,0.00236,0.000201,0.0716,9.60E-05,0.0338,0.0102,6.06E-05,0.0468,0.000626,0,0,0,1681.2
0.822,0.00047,0.000616,0.00161,0.0512,0.0971,0.0184,0.000111,6.07E-05,9.57E-05,0.00523,0.00271,0,0,1172
0.823,0.0176,0.00183,0.000198,0.0779,9.49E-05,0.0219,0.0105,6.00E-05,0.0463,0.00062,0,0,0,1722.5
0.823,0,0.000618,0.00101,0.0561,0.0984,0.0189,0.000111,6.09E-05,9.61E-05,0.000629,0.00106,0,0,1019
0.825,0.0174,0.00175,0.000201,0.0565,9.63E-05,0.0344,0.0116,0.00554,0.0468,0.000628,0,0,0,1860.3
0.858,0.0191,0.00194,0.000199,0.0753,9.54E-05,0.0341,0.0101,6.03E-05,0.00019,0.000623,0,0,0,1812.1
0.86,0.0125,0.00274,0.000198,0.00439,0.0786,0.00284,0.000765,6.00E-05,0.0369,0.000619,0,0,0,1139.7
